circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
ising_n60,60,12,27,4,4,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
multiplier_n60,60,13,30,40328,39730,1.48,False,13,False,2.175,13,False,2.175,13,False,2.175
qaoa_n60,60,12,28,1627,407,74.98,True,26,False,25.313,26,False,25.313,21,False,26.28
qft_n60,60,12,28,1199,296,75.31,True,28,True,13.333,20,False,18.485,19,False,18.03
vqe_real_amp_n60,60,12,27,63,63,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
vqe_su2_n60,60,12,27,63,63,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
vqe_two_local_n60,60,13,29,2055,548,73.33,True,29,True,48.663,25,False,48.663,20,False,48.136
wstate_n60,60,12,27,61,61,0.0,False,12,False,0.0,12,False,0.0,12,False,0.0
adder_n64_transpiled,64,13,28,187,181,3.21,False,14,False,0.0,13,False,3.736,13,False,3.736
qaoa_n64,64,13,29,1662,442,73.41,True,29,True,23.087,25,False,27.832,21,False,29.362
qft_n64,64,13,29,1241,319,74.29,True,29,True,14.206,20,False,17.991,19,False,18.458
ghz_n70,70,13,28,69,69,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
graphstate_n70,70,13,28,6,5,16.67,True,15,False,0.0,15,False,0.0,15,False,0.0
ising_n70,70,13,28,4,4,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
qaoa_n70,70,13,29,2592,521,79.9,True,29,True,27.933,22,False,30.38,21,False,31.181
qft_n70,70,13,29,1357,351,74.13,True,29,True,15.336,22,False,17.731,20,False,19.538
vqe_real_amp_n70,70,13,28,73,73,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
vqe_su2_n70,70,13,28,73,73,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
vqe_two_local_n70,70,13,30,3048,709,76.74,True,30,True,53.872,30,True,53.872,22,False,52.105
wstate_n70,70,13,28,71,71,0.0,False,13,False,0.0,13,False,0.0,13,False,0.0
bwt_n97,73,14,31,132443,129600,2.15,False,15,False,1.635,14,False,3.804,14,False,3.804
ghz_n80,80,14,29,79,79,0.0,False,14,False,0.0,14,False,0.0,14,False,0.0
graphstate_n80,80,13,29,6,6,0.0,False,13,False,2.5,13,False,2.5,13,False,2.5
ising_n80,80,14,29,4,4,0.0,False,14,False,0.0,14,False,0.0,14,False,0.0
multiplier_n80,80,16,33,72016,71287,1.01,False,16,False,1.529,16,False,1.529,16,False,1.529
qaoa_n80,80,14,30,3350,651,80.57,True,25,False,36.778,23,False,36.483,22,False,37.549
qft_n80,80,14,30,1684,409,75.71,True,28,False,15.108,23,False,17.194,20,False,21.187
vqe_real_amp_n80,80,14,29,83,83,0.0,False,14,False,0.0,14,False,0.0,14,False,0.0
vqe_su2_n80,80,14,29,83,83,0.0,False,14,False,0.0,14,False,0.0,14,False,0.0
vqe_two_local_n80,80,14,31,4098,922,77.5,True,26,False,54.546,25,False,54.652,22,False,54.779
wstate_n80,80,14,29,81,81,0.0,False,14,False,0.0,14,False,0.0,14,False,0.0
ghz_n90,90,14,30,89,89,0.0,False,14,False,0.0,14,False,0.0,14,False,0.0
graphstate_n90,90,15,30,5,5,0.0,False,15,False,1.111,15,False,1.111,15,False,1.111
ising_n90,90,14,30,8,4,50.0,True,15,False,0.0,15,False,0.0,15,False,0.0
qaoa_n90,90,15,32,3049,813,73.34,True,27,False,38.875,25,False,38.799,23,False,40.357
qft_n90,90,15,31,1865,470,74.8,True,28,False,16.887,22,False,19.119,21,False,22.642
vqe_real_amp_n90,90,14,30,97,93,4.12,False,15,False,0.0,14,False,1.498,14,False,1.498
vqe_su2_n90,90,14,30,97,93,4.12,False,15,False,0.0,14,False,1.498,14,False,1.498
wstate_n90,90,14,30,92,91,1.09,False,14,False,0.562,14,False,0.562,14,False,0.562
vqe_two_local_n90,90,15,32,5650,1150,79.65,True,29,False,58.111,25,False,57.694,24,False,57.545
ghz_n100,100,15,31,99,99,0.0,False,15,False,0.0,15,False,0.0,15,False,0.0
graphstate_n100,100,15,31,9,8,11.11,True,16,False,2.0,16,False,2.0,16,False,2.0
ising_n100,100,15,31,4,4,0.0,False,15,False,0.0,15,False,0.0,15,False,0.0
multiplier_n100,100,18,35,112834,111760,0.95,False,18,False,1.59,18,False,1.59,18,False,1.59
qaoa_n100,100,16,33,3578,954,73.34,True,33,True,40.848,26,False,40.674,25,False,41.259
qft_n100,100,15,32,2248,528,76.51,True,28,False,17.43,23,False,18.128,22,False,21.62
randomcircuit_n100,100,19,36,15813,3829,75.79,True,36,True,18.307,34,False,20.067,31,False,22.023
synth_n100_d020_mix000_t030_hf000_hm001_r2_s0,100,16,33,1317,157,88.08,True,33,True,10.428,33,True,10.428,33,True,10.428
synth_n100_d020_mix000_t030_hf000_hm001_r2_s1,100,17,34,1249,139,88.87,True,34,True,5.656,34,True,5.656,34,True,5.656
synth_n100_d020_mix050_t030_hf000_hm001_r2_s0,100,17,34,1051,206,80.4,True,34,True,18.028,32,False,19.972,29,False,22.517
synth_n100_d020_mix050_t030_hf000_hm001_r2_s1,100,17,34,1209,203,83.21,True,32,False,21.598,32,False,21.598,30,False,24.602
synth_n100_d020_mix100_t030_hf000_hm001_r2_s0,100,16,33,1206,213,82.34,True,33,True,19.406,31,False,24.037,26,False,23.401
synth_n100_d020_mix100_t030_hf000_hm001_r2_s1,100,17,34,1237,214,82.7,True,32,False,19.972,31,False,21.067,29,False,23.012
synth_n100_d040_mix000_t030_hf000_hm001_r2_s0,100,17,34,2194,379,82.73,True,34,True,17.642,34,True,17.642,32,False,20.276
synth_n100_d040_mix000_t030_hf000_hm001_r2_s1,100,17,34,2369,399,83.16,True,34,True,16.617,34,True,16.617,31,False,21.761
synth_n100_d040_mix050_t030_hf000_hm001_r2_s0,100,17,34,2103,402,80.88,True,34,True,19.427,34,True,19.427,30,False,22.609
synth_n100_d040_mix050_t030_hf000_hm001_r2_s1,100,17,34,2141,405,81.08,True,34,True,19.922,34,True,19.922,29,False,23.369
synth_n100_d040_mix100_t030_hf000_hm001_r2_s0,100,17,34,2191,421,80.79,True,34,True,21.973,32,False,25.72,26,False,25.933
synth_n100_d040_mix100_t030_hf000_hm001_r2_s1,100,17,34,2150,430,80.0,True,34,True,22.768,31,False,25.915,26,False,25.879
vqe_real_amp_n100,100,15,31,103,103,0.0,False,15,False,0.0,15,False,0.0,15,False,0.0
vqe_su2_n100,100,15,31,103,103,0.0,False,15,False,0.0,15,False,0.0,15,False,0.0
vqe_two_local_n100,100,16,33,5550,1352,75.64,True,29,False,59.044,26,False,58.647,25,False,58.963
wstate_n100,100,15,31,101,101,0.0,False,15,False,0.0,15,False,0.0,15,False,0.0
ghz_n125,125,17,34,124,124,0.0,False,17,False,0.0,17,False,0.0,17,False,0.0
graphstate_n125,125,17,34,5,5,0.0,False,17,False,0.8,17,False,0.8,17,False,0.8
ising_n125,125,17,34,6,4,33.33,True,18,False,0.0,18,False,0.0,18,False,0.0
qaoa_n125,125,18,35,6063,1401,76.89,True,33,False,46.25,28,False,47.373,28,False,47.373
qft_n125,125,17,34,2611,2454,6.01,True,21,False,64.105,18,False,63.69,17,False,63.777
vqe_real_amp_n125,125,17,34,128,128,0.0,False,17,False,0.0,17,False,0.0,17,False,0.0
